,datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,turbulence
161,20200703,ADA,0.09655,0.09291,0.1021,0.09221,690799829.5000013,0.0025112882988706647,63.60314097031894,289.81940013615116,44.505174595152255,0.0
162,20200703,BNB,15.2863,15.364,15.488,15.2484,1211128.8299999996,-0.19462656695317193,34.049325731838564,-110.97096511237272,53.127170951211426,0.0
163,20200703,BTC,9058.26,9086.54,9125.0,9037.47,28943.420177,-67.06134740912603,36.991995334841995,-107.6362451143043,48.86110081055472,0.0
164,20200703,ETH,224.87,226.46,228.13,223.97,314578.5004000009,-1.621945355155276,39.830321069382926,-86.37804469096007,29.91267531404498,0.0
165,20200703,LINK,4.7309,4.7998,4.8964,4.7031,4622377.339999999,0.10094069658753924,57.50061260822261,101.29336184029417,23.43106172791075,0.0
166,20200703,LTC,41.14,41.03,41.7,40.89,190294.7756399996,-0.5378890256317632,35.78222802151002,-109.08788835354746,61.15292465583795,0.0
167,20200703,VET,0.010223,0.00956,0.01048,0.009493,3409450555.0,0.0001339512882116839,62.986041026145074,239.33397065797467,30.297170289655718,0.0
168,20200704,ADA,0.10005,0.09652,0.10118,0.09591,490805389.09999967,0.0032023747105972,66.06039875060401,262.40498924775034,44.505174595152255,0.0
169,20200704,BNB,15.5548,15.2856,15.6399,15.2239,1319545.7499999986,-0.18281578955342326,38.100856364795014,-85.0378718964548,44.080004258851694,0.0
170,20200704,BTC,9135.46,9057.79,9190.0,9040.04,26441.968484000008,-65.34193923091152,39.41416417311317,-82.51573024780323,41.17698218440806,0.0
171,20200704,ETH,229.17,224.86,230.71,224.43,307726.4659300004,-1.437363762382148,43.45273441175194,-50.44303050380253,21.500260775504035,0.0
172,20200704,LINK,4.82,4.73,4.8539,4.7186,2884275.220000004,0.10708195979843715,59.313528029864074,100.46676028561421,23.431061727910755,0.0
173,20200704,LTC,42.11,41.13,42.23,41.06,239298.32793000003,-0.47918789919879856,40.6486356736633,-71.73632732647715,48.461466402884696,0.0
174,20200704,VET,0.012525,0.010221,0.013,0.010166,5497871626.9,0.0003536532741448342,75.2227597617835,429.00293407505166,59.789997852119534,0.0
175,20200705,ADA,0.09813,0.10005,0.10005,0.0942,397913451.9000003,0.0035680054796881494,63.62283344457084,198.9222219483272,36.515288531192205,0.0
176,20200705,BNB,15.4885,15.5579,15.6135,15.1,1120649.9099999995,-0.1761345953881115,37.51219589897956,-90.44399332069537,46.819616070918016,0.0
177,20200705,BTC,9069.41,9135.0,9145.24,8893.03,34073.65362699996,-67.87551196064669,38.117256386689824,-110.80209947011608,47.70351533541856,0.0
178,20200705,ETH,227.56,229.24,229.85,223.05,355747.1200599997,-1.3898801587286869,42.46257010950211,-66.4478907082484,24.302926516686295,0.0
179,20200705,LINK,4.7439,4.8198,4.8325,4.6118,3650974.379999999,0.1052642292296051,57.15920290338847,80.19617688632553,12.1182137320816,0.0
180,20200705,LTC,41.58,42.11,42.2,40.75,235045.82858000032,-0.46509109351342914,38.97903825659022,-83.68985861486475,50.88015438770328,0.0
181,20200705,VET,0.014307,0.012526,0.01697,0.011926,12837558118.4,0.000645661445374061,80.40927430025903,482.137483165464,76.52048948102717,0.0
182,20200706,ADA,0.10512,0.09815,0.10676,0.09722,473375192.5,0.0043066563844409295,68.06128704568893,221.7999590333785,48.46705849578205,0.0
183,20200706,BNB,16.311,15.4865,16.3496,15.4401,1606449.3100000003,-0.11057032518600707,47.8520221318618,4.1388329967059585,11.97888578647246,0.0
